Start Station Name,Rides Started
Kostner Ave & Lake St,96
Kostner Ave & North Ave,10
Kostner Ave & Wrightwood Ave,277
La Villita Park (Albany/30th),81
Lafayette Ave & 119th St,3
Lafayette Ave & 87th St - NW,4
Lafayette Ave & 87th St - SW,12
Lafayette Ave & 95th St,74
Laflin St & 51st St,1
Laflin St & 79th St,1
Laflin St & Cullerton St,1296
Lake Park Ave & 35th St,1334
Lake Park Ave & 47th St,1227
Lake Park Ave & 53rd St,2948
Lake Park Ave & 56th St,2556
Lakefront Trail & Bryn Mawr Ave,6384
Lakefront Trail & Wilson Ave,4297
Lakeview Ave & Fullerton Pkwy,10177
Lamon Ave & Archer Ave,1
Lamon Ave & Armitage Ave,274
Lamon Ave & Belmont Ave,362
Lamon Ave & Chicago Ave,131
Langley Ave & 79th St,7
Laramie Ave & Belmont Ave,11
Laramie Ave & Fullerton Ave,28
Laramie Ave & Gladys Ave,57
Laramie Ave & Grand Ave,10
Laramie Ave & Kinzie St,159
Laramie Ave & Madison St,130
Laramie Ave & Warwick Ave,3
Larrabee St & Armitage Ave,3530
Larrabee St & Division St,4224
Larrabee St & Kingsbury St,4659
Larrabee St & Menomonee St,1948
Larrabee St & North Ave,3051
Larrabee St & Oak St,2058
Larrabee St & Webster Ave,10444
LaSalle Dr & Huron St,5203
LaSalle St & Adams St,1937
LaSalle St & Illinois St,10824
LaSalle St & Jackson Blvd,3731
LaSalle St & Washington St,3009
Latrobe Ave & Chicago Ave,118
Latrobe Ave & Lake St,7
Lavergne & Fullerton,383
Lavergne Ave & 46th St,89
Lavergne Ave & Division St,62
Lawler Ave & 50th St,254
Lawndale Ave & 111th St,161
Lawndale Ave & 16th St,71
Lawndale Ave & 30th St,175
Lawndale Ave & Diversey Ave,26
Lawrence Ave & 103rd St,2
Leamington Ave & Hirsch St,84
Leavitt St & Addison St,1380
Leavitt St & Archer Ave,639
Leavitt St & Armitage Ave,2459
Leavitt St & Belmont Ave,2186
Leavitt St & Chicago Ave,2168
Leavitt St & Division St,1990
